Task,Priority,Deadline,Status,Remark
Add linkedIn post,5,14/04/2026,not started,
,,,,
,,,,
,,,,
,,,,
,,,,
Python/pandas verified working,4,09/03/2026,not started,
Talk to sukhi,3,09/03/2026,in progress,called but she did not pickup
fill mom's google form,3,10/03/2026,completed,
leetcode 2 questions,4,10/03/2026,not started,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
"JOINs — INNER, LEFT, RIGHT. Write 10 queries combining two table",5,10/03/2026,not started,
Practice on a sample sales dataset (download from Kaggle — superstore dataset),5,10/03/2026,not started,
"pandas: filtering (df[df['col'] > value]), sorting, reset_index()",5,10/03/2026,not started,
send messages and cold mails 25,4,11/03/2026,not started,
Begin SIP from mom's account,4,11/03/2026,in progress,
Recharge bsnl number,0,13/04/2026,,
Send mail to lititle bhaiya's contact,0,13/04/2026,,
"Subqueries and nested SELECT. Window functions intro: ROW_NUMBER(), RANK()
",0,13/04/2026,,
"These appear in analyst interviews — understand the concept, practice 5 queries",0,13/04/2026,,
"pandas groupby() + agg() — group sales by category, sum revenue, find top 5",0,13/04/2026,,
"Build React UI: CSV upload component, loading state, results display",0,13/04/2026,,
"Install Chart.js + react-chartjs-2. Build: bar chart, pie chart from the summary data",0,13/04/2026,,
"Display AI insights as formatted bullet points below the charts
",0,13/04/2026,,
Connect all API calls with axios — upload → fetch analysis → display,0,13/04/2026,,
"CASE WHEN statements. Date functions: DATE_TRUNC, EXTRACT, date filtering",0,13/04/2026,,
Write a query: monthly revenue by category for last 6 months,0,13/04/2026,,
"Add error handling: invalid file type, empty CSV, API failures — show user-friendly messages",0,14/04/2026,,
Add upload history page: show past analyses from PostgreSQL with timestamps,0,14/04/2026,,
Responsive design — make sure it looks good on mobile (Tailwind makes this fast),0,14/04/2026,,
"Write a strong README: what it does, tech stack, screenshots, how to run locally",0,14/04/2026,,
"CTEs (WITH clause) — clean way to write complex queries, very common in analyst interviews",0,14/04/2026,,
Practice: write a CTE that calculates running total of revenue by month,0,14/04/2026,,
pandas: merge two DataFrames (like SQL JOIN). Practice on two related CSVs,0,14/04/2026,,
,0,19/04/2026,,
,0,20/04/2026,,
,0,21/04/2026,,
,0,22/04/2026,,
,0,23/04/2026,,
,0,24/04/2026,,
,0,25/04/2026,,
,0,26/04/2026,,
,0,27/04/2026,,
,0,28/04/2026,,
,0,29/04/2026,,
,0,30/04/2026,,
,0,01/05/2026,,
,0,02/05/2026,,
,0,03/05/2026,,
,0,04/05/2026,,
,0,05/05/2026,,
,0,06/05/2026,,
,0,07/05/2026,,
,0,08/05/2026,,
,0,09/05/2026,,
,0,10/05/2026,,
,0,11/05/2026,,
,0,12/05/2026,,
,0,13/05/2026,,
